MissingRate,Method,RMSE,PFC,TimeSec,NumRows,NumCols
0.05,MICE,0.14616201056818198,0.0011904761904761904,1.4097440242767334,120,8
0.05,FAMD,0.36505467082461307,NA,0.033204078674316406,120,8
0.05,missForest,0.23138234686083445,0.0011904761904761904,0.15098905563354492,120,8
0.05,MIDAS,0.6922330934452713,0.05238095238095238,10.471744060516357,120,8
0.1,MICE,0.19566978986718023,0.008333333333333333,1.4028239250183105,120,8
0.1,FAMD,0.37795089408298177,NA,0.027228116989135742,120,8
0.1,missForest,0.23857707491250238,0.005952380952380953,0.18108487129211426,120,8
0.1,MIDAS,0.8597835325704809,0.10238095238095238,6.313689947128296,120,8
0.15,MICE,0.233209490944658,0.007142857142857143,1.935581922531128,120,8
0.15,FAMD,0.3856029624495648,NA,0.03394603729248047,120,8
0.15,missForest,0.24332510071565094,0.009523809523809525,0.10118293762207031,120,8
0.15,MIDAS,1.0281132231367869,0.15119047619047618,4.250284910202026,120,8
